web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,965,965,,389424,0.0,Résidence CREPUSCULE 3,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1041,1041,,358684,0.0,Résidence GRAVACHES 3,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,747,747,,358674,0.0,Résidence RIVIERA 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,610,610,,358664,0.0,Résidence RIVIERA 1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,2716,2716,,358624,0.0,Résidence OURS POLAIRE,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,2716,2716,,358594,0.0,Résidence BOREAL,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,629,629,,358494,0.0,Résidence AIGUILLE VERTE 28,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,807,807,,358454,0.0,Résidence SAPAUDIA G,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,601,601,,358434,0.0,Résidence RICHEMONT 12,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1807,1807,,358284,0.0,Résidence GENTIANES 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,732,732,,358274,0.0,Résidence ELIOR 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,873,873,,358144,0.0,Résidence CAPRICE 4,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1546,1546,,358104,0.0,Résidence BEDIERE 3,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,772,772,,358064,0.0,Résidence ARAVIS 1500-11,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,583,583,,358054,0.0,Résidence ALCYON A23,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,626,626,,358044,0.0,Résidence AIGUILLE VERTE 27,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,924,924,,801854,0.0,Résidence PETITE OURSE,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,589,589,,739094,0.0,Résidence OURS BLANC 9,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,654,654,,650184,0.0,Résidence OURS BLANC 11,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,618,618,,430804,0.0,Résidence RICHEMONT 10,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
