web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines 
1691209603-1024,27/03/2023,24/04/2023,01/05/2023,1122,1122,Chambre Double - Vue sur Piscine,,Villa la Renaissance,Bayonne,,17
1691209603-1025,27/03/2023,24/04/2023,01/05/2023,423,423,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,17
1691209603-1026,27/03/2023,24/04/2023,01/05/2023,564,564,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,17
1691209603-1027,27/03/2023,24/04/2023,01/05/2023,509,509,Chambre Double,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,17
1691209603-1028,27/03/2023,24/04/2023,01/05/2023,332,332,Chambre Double avec Lit Queen-Size,,ibis budget Pau Lescar,Lescar,,17
1691209603-1029,27/03/2023,24/04/2023,01/05/2023,522,522,Chambre Triple,,ibis budget Bayonne,Bayonne,,17
1691209603-1030,27/03/2023,24/04/2023,01/05/2023,588,588,Chambre Triple Confort avec Douche,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,17
1691209603-1031,27/03/2023,24/04/2023,01/05/2023,693,693,Appartement 1 Chambre,,Hotel Alaïa,Ascain,,17
1691209603-1032,27/03/2023,24/04/2023,01/05/2023,519,519,Chambre Double,,Hôtel Lastiry,Sare,,17
1691209603-1033,27/03/2023,24/04/2023,01/05/2023,534,534,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,17
1691209603-1034,27/03/2023,24/04/2023,01/05/2023,664,664,Chambre Double avec Terrasse,,Logis Hôtel Baratxartea,Sare,,17
1691209603-1035,27/03/2023,24/04/2023,01/05/2023,553,553,Chambre Double Standard,,Hôtel de la Rhune,Ascain,,17
1691209603-1036,27/03/2023,24/04/2023,01/05/2023,809,809,Chambre Double,,Hotel Balea,Guéthary,,17
1691209603-1037,27/03/2023,24/04/2023,01/05/2023,452,452,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,17
1691209603-1038,27/03/2023,24/04/2023,01/05/2023,655,655,Chambre Confort ,,Domaine Agerria,Mauléon-Licharre,,17
1691209603-1039,27/03/2023,24/04/2023,01/05/2023,566,566,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,17
1691209603-1040,27/03/2023,24/04/2023,01/05/2023,559,559,Chambre Double - Vue sur Jardin,,Hôtel du Pont,Ascain,,17
1691209603-1041,27/03/2023,24/04/2023,01/05/2023,1502,1502,Chambre Double avec Balcon et Accès au Spa,,Hotel & Spa 4* Serge Blanco,Hendaye,,17
1691209603-1042,27/03/2023,24/04/2023,01/05/2023,682,682,Chambre Double avec Baignoire,,Hotel Restaurant Santiago,Hendaye,,17
1691209603-1043,27/03/2023,24/04/2023,01/05/2023,453,453,Chambre Pop avec 1 Lit Double,,Greet Hôtel Orthez Bearn,Orthez,,17
1691209603-1044,27/03/2023,24/04/2023,01/05/2023,644,613,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,17
1691209603-1045,27/03/2023,24/04/2023,01/05/2023,317,317,Chambre Double,,Hôtel Eco Relais - Pau Nord,Lons,,17
1691209603-1046,27/03/2023,24/04/2023,01/05/2023,704,704,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Hôtel Chilhar,Espelette,,17
1691209603-1047,27/03/2023,24/04/2023,01/05/2023,652,652,Chambre Lit Queen-Size Confort - Non-Fumeurs,,Best Western Hotel & SPA Pau Lescar Aeroport ex hôtel Vamcel,Lescar,,17
1691209603-1048,27/03/2023,24/04/2023,01/05/2023,518,518,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,17
1691209603-1049,27/03/2023,25/04/2023,02/05/2023,620,620,Chambre Triple – Vue sur Montagne,,Chalet Les Pieux,Crest-Voland,,17
1691209603-1050,27/03/2023,25/04/2023,02/05/2023,1155,1155,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,17
1691209603-1051,27/03/2023,25/04/2023,02/05/2023,630,630,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,17
1691209603-1052,27/03/2023,25/04/2023,02/05/2023,930,930,Chambre Simple,,Auberge de Costaroche,Albertville,,17
1691209603-1053,27/03/2023,25/04/2023,02/05/2023,426,426,Chambre Double,,Hôtel Le Savoie,Albertville,,17
1691209603-1054,27/03/2023,25/04/2023,02/05/2023,770,770,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,17
1691209603-1055,27/03/2023,25/04/2023,02/05/2023,1004,1004,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,17
1691209603-1056,27/03/2023,25/04/2023,02/05/2023,1035,1035,Chambre Double Standard,,Au Coin Du Feu,Megève,,17
1691209603-1057,27/03/2023,25/04/2023,02/05/2023,681,681,Chambre Double,,Albert 1er,Albertville,,17
1691209603-1058,27/03/2023,25/04/2023,02/05/2023,697,697,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,17
1691209603-1059,27/03/2023,25/04/2023,02/05/2023,598,598,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,17
1691209603-1060,27/03/2023,25/04/2023,02/05/2023,352,352,Chambre Double,,Fasthotel Albertville,Albertville,,17
